age_min,age_max,landmark,max_fu_days,n,events,n_vax,events_vax,n_unvax,events_unvax,HR,CI_lower,CI_upper,p_value
29,51,0,500,708,25,175,3,533,22,0.40915767987175433,0.12246143945400195,1.3670426196559478,0.14649949423422673
29,51,0,550,708,25,175,3,533,22,0.4091576798717544,0.12246143945400201,1.367042619655947,0.14649949423422662
29,51,0,600,708,27,175,3,533,24,0.3742939945387475,0.11270590143955582,1.2430227038546464,0.10854847093324534
29,51,0,650,708,30,175,3,533,27,0.33141632859361764,0.1005386195685617,1.0924834986775427,0.06957650216708952
29,51,0,700,708,31,175,3,533,28,0.31910235739616366,0.09700940320175414,1.0496540658436682,0.060076785908267843
29,51,0,730,708,31,175,3,533,28,0.31910235739616366,0.09700940320175414,1.0496540658436682,0.060076785908267843
29,51,0,750,708,31,175,3,533,28,0.31910235739616366,0.09700940320175414,1.0496540658436682,0.060076785908267843
29,51,0,800,708,31,175,3,533,28,0.31910235739616366,0.09700940320175414,1.0496540658436682,0.060076785908267843
29,51,0,850,708,32,175,4,533,28,0.42527649736221435,0.1491654351279469,1.212479949215718,0.10969661885962521
29,51,0,900,708,34,175,4,533,30,0.3968950410255012,0.13982120040371093,1.1266222370842518,0.0825601322607456
29,51,0,730,708,31,175,3,533,28,0.31910235739616366,0.09700940320175414,1.0496540658436682,0.060076785908267843
29,51,0,760,708,31,175,3,533,28,0.31910235739616366,0.09700940320175414,1.0496540658436682,0.060076785908267843
29,51,0,790,708,31,175,3,533,28,0.31910235739616366,0.09700940320175414,1.0496540658436682,0.060076785908267843
29,51,0,820,708,32,175,4,533,28,0.42527649736221423,0.14916543512794686,1.2124799492157174,0.10969661885962503
29,51,0,1095,708,36,175,6,533,30,0.596614944519181,0.24831785988993083,1.4334425730851705,0.24814746274106125
29,51,0,1460,708,42,175,6,533,36,0.5003122500446769,0.2108026007066142,1.1874253292213461,0.11631346945080236
29,51,0,1825,708,46,175,7,533,39,0.5418961245082263,0.2423723853337017,1.2115712330541772,0.13557116361296342
29,51,30,All,700,43,174,7,526,36,0.5923399926018303,0.2635754516102057,1.3311811274231382,0.2049522242013535
29,51,30,365,700,16,174,2,526,14,0.4263622415435178,0.09689859159437418,1.8760309930507522,0.2594450623691146
29,51,30,400,700,16,174,2,526,14,0.4263622415435178,0.09689859159437418,1.8760309930507522,0.2594450623691146
29,51,30,450,700,16,174,2,526,14,0.4263622415435178,0.09689859159437418,1.8760309930507522,0.2594450623691146
29,51,30,500,700,17,174,2,526,15,0.39757643829758915,0.09091714577028079,1.7385832226715816,0.22046565889418557
29,51,30,550,700,17,174,2,526,15,0.397576438297589,0.09091714577028075,1.738583222671581,0.22046565889418535
29,51,30,600,700,19,174,2,526,17,0.3500177376023438,0.08086566177450717,1.5150116124429605,0.16023373381265327
29,51,30,650,700,22,174,2,526,20,0.2962107791873649,0.06923344057503134,1.267318581570379,0.10088829386257096
29,51,30,700,700,23,174,2,526,21,0.2816251915545241,0.0660318266053412,1.2011291008525107,0.0868311791330142
29,51,30,730,700,23,174,2,526,21,0.2816251915545241,0.0660318266053412,1.2011291008525107,0.0868311791330142
29,51,30,750,700,23,174,2,526,21,0.2816251915545241,0.0660318266053412,1.2011291008525107,0.0868311791330142
29,51,30,800,700,23,174,2,526,21,0.2816251915545241,0.06603182660534122,1.2011291008525105,0.08683117913301408
